INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
700147,MLI,2014,24503.77358,,
700147,MLI,2015,200159,,
700147,MLT,2014,7482,,
700147,MLT,2015,4845,,
700147,MNG,2014,27206,,
700147,MNG,2015,52788,,
700147,MOZ,2014,144985,,
700147,MYS,2014,272600,,
700147,MYS,2015,337400,,
700147,NIC,2009,57786,,
700147,NLD,2014,224000,,
700147,NLD,2015,221000,,
700147,PAK,2014,3141583,,
700147,PAK,2015,3499109,,
700147,PAN,2013,70367,,
700147,PAN,2016,70890,,
700147,PER,2013,587692,,
700147,PHL,2014,651514,,
700147,PHL,2015,628298,,
700147,PRI,2014,10976,,
700147,PRI,2015,27108.55000,,
700147,PRT,2014,153042.34678,,
700147,PRT,2015,150030.17702,,
700147,PRY,2010,125380,,
700147,PSE,2014,3400,,
700147,PSE,2015,2500,,
700147,ROU,2014,289476,,
700147,ROU,2015,272168,,
700147,RUS,2014,2774761,,
700147,SLV,2013,13856,,
700147,SRB,2014,71517.14028,,
700147,SRB,2015,74784.57348,,
700147,SVK,2014,70500,,
700147,SVK,2015,66300,,
700147,SWE,2014,102995,,
700147,SWE,2015,104595.50000,,
700147,SXM,2013,448,,
700147,SYC,2012,0,NA,
700147,TGO,2015,131539,,
700147,THA,2014,1078411,,
700147,THA,2015,1063575.43410,,
700147,TUR,2014,936078,,
700147,TUR,2015,916021.47500,,
700147,UGA,2012,206517.41000,,
700147,URY,2013,20252,,
700147,VNM,2014,2344200,,
700147,VNM,2015,2228700,,
700148,AGO,2014,57465.40800,,
700148,ARM,2014,47587,,
700148,ARM,2015,40648.11316,,
700148,AUT,2014,142000,,
700148,AUT,2015,148500,,
700148,BEL,2014,154034,,
700148,BEL,2015,160767,,
700148,BGR,2014,125400,,
700148,BGR,2015,130400,,
700148,BIH,2014,41297,,
700148,BIH,2015,35850.30944,,
700148,BMU,2010,1037,,
700148,BOL,2011,208909,,
700148,BOL,2015,323825,,
700148,BRA,2013,4174763,,
700148,BRN,2014,10421.63971,,
700148,CAN,2015,694900,,
700148,CHE,2014,243798,,
700148,CHL,2013,314261,,
700148,CHL,2016,296106.15465,,
700148,CPV,2015,5629,,
700148,CRI,2015,74382,,
700148,CYM,2016,955,,
700148,CYP,2014,10888,,
700148,CYP,2015,10926,,
700148,CZE,2014,171351,,
700148,CZE,2015,198399,,
700148,DEU,2014,1636600,,
700148,DEU,2015,1668100,,
700148,DNK,2013,56074,,
700148,DNK,2014,57097,,
700148,DOM,2013,84612,,
700148,ECU,2013,50621,,
700148,ECU,2015,329250.40600,,
700148,ESP,2014,549183,,
700148,ESP,2015,577100,,
700148,EST,2014,27793,,
700148,EST,2015,30506,,
700148,FIN,2014,148400,,
700148,FIN,2015,152850,,
700148,FRA,2014,803303,,
700148,FRA,2015,782117,,
